Date,Startup Name,Vertical,SubVertical,City Location,Investors,Round,Amount,Startup Names,Industries,Funding Rounds,Investment Amount,Valuation,Number of Investors,Country,Year Founded,Growth Rate (%)
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,3848.8,Startup_30,SaaS,5,3026419469.15,6802919454.497738,13,Brazil,2005,47.37
2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,2720.0,Startup_31,AI,9,4705042824.65,17203808326.963245,35,Germany,2002,87.95
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,13600.0,Startup_32,E-commerce,1,4294449811.39,20891484639.41212,8,China,2019,91.51
2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,612.0,Startup_33,AI,7,2867170174.15,6499884835.941129,27,Germany,2019,83.3
2019-10-02,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,7956.0,Startup_34,EdTech,9,4374659519.73,6662238862.925446,2,France,2016,196.58
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,Startup_35,Blockchain,6,3777513647.39,15234607026.317108,12,Australia,2003,186.59
2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,61.2,Startup_36,Blockchain,3,3647514987.49,5586375044.628251,18,Australia,2014,13.16
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,44.88,Startup_37,AI,10,4411234804.76,11691080168.103416,50,Canada,2011,147.11
2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,81.6,Startup_38,Fintech,6,2725867165.62,4089854368.774714,19,USA,2022,187.72
2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,68.0,Startup_39,HealthTech,5,4790851851.76,22981467971.673523,20,USA,2001,33.71
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,244.8,Startup_40,AI,1,2751786274.72,8856652982.291237,14,India,2005,97.9
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,13.6,Startup_41,AI,5,3972168775.93,18893051079.68139,49,Canada,2016,104.99
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,136.0,Startup_42,EdTech,9,1036222596.89,3964715622.1792393,25,Australia,2016,110.52
2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,6120.0,Startup_43,E-commerce,5,1638827482.93,3545351528.3056784,38,Brazil,2017,167.34
2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,68.0,Startup_44,SaaS,5,2767906479.48,11784319878.459991,17,USA,2005,153.61
2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,272.0,Startup_45,E-commerce,7,3480520968.8,13041915911.934908,30,France,2010,125.65
2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,68.0,Startup_46,AI,5,3254439463.31,7876334439.049745,20,Australia,2016,147.04
2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Undisclosed,Seed Funding Round,21.76,Startup_47,Blockchain,6,4032615160.05,20078014719.067585,38,France,2000,48.73
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1904.0,Startup_48,E-commerce,2,475269528.08,2223977127.625992,49,Germany,2012,48.13
2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,517.888,Startup_49,Biotech,2,4897855433.55,8005010523.680097,16,France,2011,122.39
2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1700.0,Startup_50,HealthTech,10,1979604878.09,8694160540.971277,4,UK,2013,12.64
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,149.6,Startup_51,Blockchain,4,2876153119.3,5826669173.859353,18,Australia,2001,138.19
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,693.6,Startup_52,Fintech,8,2321745880.25,6758206634.670489,32,USA,2000,192.74
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,503.2,Startup_53,Blockchain,10,675587864.57,1229453482.539445,26,USA,2014,139.82
2019-08-23,Lo Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,6.8,Startup_54,E-commerce,3,1176101216.28,3251064586.116904,4,Australia,2002,198.29
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,1496.0,Startup_55,HealthTech,2,3604778899.84,16922409671.52045,3,Germany,2018,71.9
2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,204.0,Startup_56,E-commerce,7,4830737938.1,17347814945.71877,5,Brazil,2020,92.66
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,89.624,Startup_57,SaaS,1,4360313592.0,9907684658.828943,37,China,2019,160.82
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,13.6,Startup_58,HealthTech,6,2028361128.74,6102998475.328899,29,Germany,2009,119.37
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,Startup_59,AI,2,2756855232.44,11130347512.391493,25,Australia,2007,157.0
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,952.0,Startup_60,Fintech,6,820455124.6,1840836654.7642283,31,Australia,2009,57.83
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,53040.0,Startup_61,AI,5,4437872047.6,6878102854.758722,22,Singapore,2013,107.86
2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,258.4,Startup_62,SaaS,8,1924235656.36,3798190442.146417,37,UK,2010,104.21
2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,34.0,Startup_63,Biotech,4,2463967074.34,5665325649.959255,44,France,2008,53.86
2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.972,Startup_64,E-commerce,3,4470788164.24,19418366785.32559,16,USA,2019,58.4
2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,13.6,Startup_65,AI,3,4815534280.92,20158491149.734688,45,China,2008,25.42
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,517.888,Startup_66,AI,6,365913860.56,1672037254.1104138,21,India,2017,144.35
2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,6.8,Startup_67,SaaS,6,2996659583.02,4667230455.884717,48,Brazil,2006,62.22
2019-07-10,BYJU'S,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,2040.0,Startup_68,AI,3,3711464088.69,11066201278.735676,15,Canada,2013,87.42
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,816.0,Startup_69,Biotech,6,928128649.47,4634153806.239821,21,Australia,2007,187.21
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,217.6,Startup_70,Blockchain,1,2603523861.44,9563072271.63529,19,France,2007,107.67
2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,78.2,Startup_71,HealthTech,7,3644872687.35,11926210327.426886,14,Canada,2010,59.98
2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,34.0,Startup_72,Blockchain,4,744631010.32,1620392801.4186869,2,Singapore,2008,123.34
2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,13.6,Startup_73,E-commerce,8,1344780386.06,4537818813.982469,19,Australia,2005,179.18
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,4.346628,Startup_74,Fintech,3,491018020.84,1354841679.996854,20,India,2013,165.57
2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,693.6,Startup_75,Biotech,1,1582882524.88,5586959852.453201,16,India,2020,144.16
2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,136.0,Startup_76,SaaS,10,1085427021.26,4630172763.526157,18,Australia,2016,91.33
2019-06-03,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,,Startup_77,Blockchain,7,1340475423.36,2357879218.228429,20,Singapore,2004,81.98
2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,122.4,Startup_78,HealthTech,8,4940530156.26,23772801009.3952,14,India,2021,108.11
2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,1020.0,Startup_79,Fintech,8,2749898672.7,5542968257.287758,9,Germany,2011,189.55
2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,353.6,Startup_80,E-commerce,8,4533989298.71,8054285187.148059,22,India,2005,69.71
2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,34.0,Startup_81,Biotech,8,844854106.72,2590555965.7149515,23,USA,2002,69.33
2019-06-06,Sistemabio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,,Startup_82,HealthTech,1,3631343014.13,7772600871.780343,34,USA,2010,28.16
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,353.6,Startup_83,EdTech,8,3689561074.31,15527195348.04439,32,Singapore,2012,159.5
2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,,Startup_84,SaaS,1,1876264361.81,6903335389.091311,14,Singapore,2023,118.95
2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,5.85072,Startup_85,Biotech,5,2447270415.5,8095858828.067322,27,China,2021,129.03
2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,210.8,Startup_86,Biotech,7,2407386442.25,8783700785.20548,10,Germany,2002,182.23
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,707.2,Startup_87,HealthTech,2,4730860833.16,8195466150.18074,34,Canada,2000,170.46
2019-06-08,Vogo Automotive Pvt Ltd,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,48.7424,Startup_88,AI,3,2700679626.1,4800271506.759951,14,Australia,2020,107.0
2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,46.24,Startup_89,SaaS,9,1054977036.09,3208096453.804389,31,China,2005,157.79
2019-05-06,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,Startup_90,E-commerce,9,2701705689.18,10238979645.81396,8,Australia,2010,104.13
2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,11.81296,Startup_91,SaaS,7,1480174017.83,6153889306.393388,24,USA,2016,159.77
2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,Startup_92,Blockchain,7,1868556515.9,5626482827.87125,48,China,2006,74.81
2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,2040.0,Startup_93,HealthTech,4,4965764721.83,22063441300.70618,19,USA,2022,185.18
2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,680.0,Startup_94,EdTech,6,4373093561.43,14431864169.34468,21,Singapore,2017,31.3
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,693.6,Startup_95,HealthTech,4,4236712037.57,18506506243.386707,21,Canada,2012,27.37
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1904.0,Startup_96,Fintech,3,835931781.31,2239262009.884896,23,Singapore,2017,162.48
2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,156.4,Startup_97,EdTech,7,1110163040.41,3432586808.6567926,43,France,2012,122.79
2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,76.16,Startup_98,SaaS,5,817466253.48,2610638765.116803,40,Brazil,2010,160.46
2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,612.0,Startup_99,E-commerce,3,540940572.76,2291586359.294553,42,France,2001,59.69
2019-04-12,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,231.2,Startup_100,Blockchain,8,3308060362.77,5174334068.134404,39,Canada,2005,5.42
2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,5.857044,Startup_101,Fintech,3,222399646.12,866057139.4324499,9,UK,2005,14.62
2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,48.8427,Startup_102,EdTech,7,4504529995.14,18845746993.929115,21,Singapore,2018,195.16
2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,2.72,Startup_103,Blockchain,4,4777022152.23,9085127518.302149,8,Australia,2007,40.44
2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,47.6,Startup_104,Biotech,1,4255546911.86,11515638960.56781,9,USA,2000,92.03
2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,85.963152,Startup_105,Fintech,10,4055211093.34,16887114468.162745,21,Australia,2009,109.49
2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,33.231532,Startup_106,E-commerce,5,1022453449.75,2849976436.576566,45,France,2023,22.65
2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,4.1752,Startup_107,SaaS,7,1862792339.72,8231911404.888959,25,Germany,2013,151.19
2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,353.6,Startup_108,SaaS,3,2793350138.78,6641452650.349066,24,Germany,2012,169.31
2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,40.8,Startup_109,EdTech,1,190552569.77,579122421.6948707,21,Singapore,2015,6.85
2019-04-19,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,195.0512,Startup_110,E-commerce,3,4176182629.51,10240648046.87746,37,Australia,2003,36.45
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,68.0,Startup_111,HealthTech,4,291159535.66,1212955100.3722916,26,UK,2001,98.27
2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,40.8,Startup_112,SaaS,6,3957776781.25,13305043815.736095,6,USA,2001,14.82
2019-02-01,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0,Startup_113,Biotech,2,4061720586.36,7008812342.15335,34,Brazil,2018,87.1
2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,3073.6,Startup_114,Biotech,2,1973996602.66,5342730965.915696,25,Australia,2017,21.01
2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,8.16,Startup_115,SaaS,6,1207908188.67,5176553240.218474,24,Germany,2018,135.34
2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,1360.0,Startup_116,HealthTech,10,4148060234.72,19654238527.67062,12,Singapore,2020,192.62
2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,1496.0,Startup_117,HealthTech,5,297037415.8,631590080.9830602,27,Germany,2022,10.75
2019-01-04,Vyome Therapeutics Inc,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,299.2,Startup_118,EdTech,5,3187593538.06,14966432137.19435,2,France,2021,166.15
2019-01-04,Samunnati Financial Intermediation Services Pvt Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,68.0,Startup_119,Biotech,9,4898710204.12,10016527782.74132,9,France,2004,107.44
2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,9.52,Startup_120,AI,1,2434425122.57,7540340367.746701,8,USA,2003,175.64
2018-12-01,UrbanClap Technologies Pvt Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,680.0,Startup_121,Fintech,8,3231666823.75,8713378948.186407,15,Brazil,2014,62.93
2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,10.88,Startup_122,HealthTech,7,359706950.69,893681743.5278616,45,Australia,2007,139.11
2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,7.7792,Startup_123,EdTech,7,12109878.52,35333149.76319448,35,France,2001,61.1
2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.9448,Startup_124,AI,4,4058325476.85,10666646232.548092,3,China,2014,172.42
2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,27.2,Startup_125,Biotech,9,1049458896.63,3791331978.2543135,24,Brazil,2004,100.65
2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,47.6,Startup_126,E-commerce,6,4243311793.92,20389236539.748764,12,Canada,2014,20.41
2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,1.890332,Startup_127,SaaS,9,4724792423.72,22577045559.21223,36,Canada,2014,148.05
2018-11-03,Veritas Finance Ltd,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,378.0664,Startup_128,Blockchain,1,996364970.4,4709629475.220037,35,Singapore,2010,181.98
2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,680.0,Startup_129,Blockchain,6,3357130456.98,13831720869.291971,14,Brazil,2011,131.76
2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,6.8,Startup_130,Biotech,10,1485976623.94,5820844542.537277,40,Germany,2017,112.16
2018-11-08,AR Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,13.6,Startup_131,EdTech,9,1086640783.67,3375032748.53194,50,Brazil,2023,179.37
2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,13.6,Startup_132,Blockchain,4,670778423.23,2036188590.9963207,31,Singapore,2021,75.42
2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,17.68,Startup_133,AI,9,2162442988.16,9684369294.297209,13,USA,2011,121.76
2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,13.6,Startup_134,Blockchain,1,3353919321.47,14101768667.1437,30,Germany,2008,77.07
2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,6.8,Startup_135,EdTech,4,2832206309.3,8112943643.786815,32,Brazil,2010,111.76
